Company   , Industry     , Laid_Off, Date            , Location     , Revenue_Million
CloudNine , Finance      , None    , 04-01-2024      , new york     , 263
BetaSoft  , IT           , 138     , May 15 2024     , San Fran     , 441.6
Alpha Inc., IT           , 172     , 18-03-2024      , new york     , 491.1
FutureTek , Healthcare   , thirty  , March 11 2024   , SF           , None
NextGen   , Retail       , twenty  , 28-03-2024      , San Fran     , 433.8
InnoSoft  , Healthcare   , twenty  , 03-04-2024      , New York     , None
Alpha Inc., Healthcare   , thirty  , 17-02-2024      , San Fran     , None
NextGen   , Retail       , 120     , April 21 2024   , Chicago      , 242.7
OmegaCorp , Manufacturing, None    , 04-05-2024      , Chicago      , 173.8
CloudNine , Healthcare   , None    , 2024.01.01      , new york     , None
Gamma LLC , IT           , None    , 10-02-2024      , NYC          , None
CloudNine , Healthcare   , None    , 27-04-2024      , Seattle      , 463.8
InnoSoft  , Retail       , 73      , 21-04-2024      , San Francisco, None
Alpha Inc., Healthcare   , None    , 2024.01.05      , San Francisco, None
OmegaCorp , Finance      , None    , 02-01-2024      , Boston       , None
InnoSoft  , Manufacturing, None    , 09-01-2024      , SF           , None
InnoSoft  , Healthcare   , None    , May 12 2024     , San Francisco, None
NextGen   , Healthcare   , None    , 28-01-2024      , new york     , None
TechNova  , IT           , None    , 15-01-2024      , New York     , None
FutureTek , Retail       , None    , 08-03-2024      , Boston       , None
BetaSoft  , Manufacturing, None    , 16-04-2024      , Chicago      , 125
CloudNine , Manufacturing, None    , 21-05-2024      , Seattle      , None
Gamma LLC , Manufacturing, None    , March 25 2024   , NYC          , None
FutureTek , Healthcare   , twenty  , 13-02-2024      , San Francisco, 128
DataWorks , Manufacturing, None    , 11-03-2024      , NYC          , 175.8
CloudNine , IT           , None    , 21-04-2024      , San Fran     , None
Alpha Inc., Finance      , None    , 2024.05.25      , SF           , None
Alpha Inc., Retail       , 146     , 03-03-2024      , Boston       , None
Alpha Inc., Finance      , thirty  , 11-01-2024      , Chicago      , None
DataWorks , Healthcare   , None    , 01-02-2024      , San Fran     , 21.5
TechNova  , Finance      , None    , April 11 2024   , San Francisco, None
Gamma LLC , IT           , None    , 04-04-2024      , New York     , None
TechNova  , Manufacturing, None    , 03-02-2024      , NYC          , None
Alpha Inc., Retail       , twenty  , January 03 2024 , Chicago      , None
NextGen   , Healthcare   , twenty  , 16-02-2024      , San Francisco, None
Gamma LLC , IT           , None    , 16-03-2024      , NYC          , None
TechNova  , Healthcare   , 59      , 11-02-2024      , Chicago      , None
InnoSoft  , Retail       , None    , 19-05-2024      , Seattle      , 121.8
InnoSoft  , Manufacturing, None    , March 07 2024   , New York     , None
TechNova  , IT           , thirty  , 2024.01.03      , new york     , None
DataWorks , Healthcare   , 30      , 18-03-2024      , Seattle      , None
Alpha Inc., Healthcare   , thirty  , 22-05-2024      , Chicago      , None
DataWorks , Retail       , None    , January 05 2024 , New York     , 418.5
NextGen   , IT           , None    , 17-03-2024      , New York     , None
TechNova  , Healthcare   , 142     , 2024.02.25      , NYC          , None
DataWorks , Finance      , thirty  , 11-03-2024      , NYC          , None
Alpha Inc., Healthcare   , twenty  , 08-04-2024      , Boston       , None
DataWorks , Retail       , None    , 11-04-2024      , new york     , None
Alpha Inc., Healthcare   , twenty  , 22-04-2024      , SF           , 92.7
DataWorks , Retail       , thirty  , March 02 2024   , San Francisco, None
CloudNine , Manufacturing, twenty  , January 19 2024 , Chicago      , None
Gamma LLC , Manufacturing, None    , January 04 2024 , new york     , None
InnoSoft  , IT           , None    , 18-02-2024      , New York     , None
TechNova  , Manufacturing, twenty  , 21-05-2024      , NYC          , 119.8
BetaSoft  , Healthcare   , None    , 15-03-2024      , San Francisco, 373.2
CloudNine , IT           , thirty  , March 07 2024   , Chicago      , 107.5
TechNova  , Manufacturing, None    , 2024.05.26      , NYC          , None
CloudNine , Finance      , None    , 27-04-2024      , New York     , None
NextGen   , Healthcare   , twenty  , 24-02-2024      , NYC          , 185.6
Alpha Inc., IT           , None    , 12-05-2024      , SF           , None
CloudNine , Finance      , None    , 25-02-2024      , SF           , None
NextGen   , Manufacturing, twenty  , March 28 2024   , Seattle      , None
Alpha Inc., Manufacturing, None    , March 12 2024   , New York     , None
Alpha Inc., IT           , None    , April 05 2024   , SF           , None
FutureTek , Healthcare   , None    , January 31 2024 , San Fran     , None
OmegaCorp , Finance      , None    , 2024.03.17      , Boston       , None
OmegaCorp , Retail       , 86      , January 23 2024 , new york     , None
CloudNine , Healthcare   , twenty  , 17-04-2024      , San Fran     , None
OmegaCorp , Finance      , twenty  , 2024.02.07      , New York     , None
CloudNine , Manufacturing, None    , 03-04-2024      , NYC          , None
Alpha Inc., IT           , twenty  , 29-02-2024      , SF           , None
TechNova  , Manufacturing, 146     , January 20 2024 , Seattle      , 154
DataWorks , Finance      , thirty  , 23-01-2024      , Boston       , None
BetaSoft  , Healthcare   , twenty  , March 30 2024   , Chicago      , 180.4
NextGen   , Healthcare   , thirty  , 21-03-2024      , Austin       , None
FutureTek , Retail       , None    , 02-03-2024      , Austin       , None
OmegaCorp , Manufacturing, 27      , January 03 2024 , New York     , None
DataWorks , Finance      , None    , 03-04-2024      , San Fran     , 463.1
TechNova  , Retail       , thirty  , 27-01-2024      , Chicago      , 491.8
CloudNine , IT           , 124     , 22-01-2024      , NYC          , 155.7
FutureTek , IT           , 119     , 19-05-2024      , San Fran     , None
OmegaCorp , Retail       , None    , 07-01-2024      , New York     , None
InnoSoft  , IT           , None    , 03-01-2024      , NYC          , None
Gamma LLC , Finance      , twenty  , 24-05-2024      , Boston       , 20.2
DataWorks , Finance      , 11      , 15-02-2024      , San Fran     , None
DataWorks , Retail       , 20      , 04-03-2024      , New York     , None
Alpha Inc., Retail       , thirty  , 11-05-2024      , Chicago      , 455.5
FutureTek , IT           , 68      , 20-05-2024      , NYC          , 427
Gamma LLC , Retail       , None    , 05-05-2024      , Boston       , None
Alpha Inc., Finance      , None    , 17-03-2024      , Austin       , 19
Alpha Inc., Healthcare   , thirty  , 2024.05.18      , San Fran     , None
OmegaCorp , IT           , None    , 08-04-2024      , San Fran     , 167.4
OmegaCorp , Finance      , None    , 02-02-2024      , Boston       , None
Alpha Inc., Healthcare   , 37      , 23-03-2024      , San Francisco, 164.5
TechNova  , Healthcare   , 107     , 2024.03.02      , Seattle      , None
BetaSoft  , IT           , thirty  , 20-03-2024      , Seattle      , None
CloudNine , IT           , twenty  , 31-01-2024      , San Francisco, None
NextGen   , Finance      , None    , 06-02-2024      , Seattle      , 421.8
DataWorks , Manufacturing, twenty  , April 22 2024   , San Francisco, 110.7
OmegaCorp , Finance      , twenty  , 20-01-2024      , Seattle      , None
InnoSoft  , Healthcare   , thirty  , 2024.02.16      , San Francisco, 297.8
InnoSoft  , Finance      , thirty  , 23-01-2024      , Boston       , None
FutureTek , IT           , 52      , 11-04-2024      , Austin       , 379.9
Gamma LLC , Healthcare   , None    , 27-02-2024      , new york     , None
Gamma LLC , Retail       , None    , 26-01-2024      , San Francisco, None
InnoSoft  , Manufacturing, thirty  , 16-02-2024      , Austin       , None
NextGen   , Finance      , None    , 13-02-2024      , San Francisco, None
NextGen   , Manufacturing, twenty  , 04-04-2024      , Seattle      , None
FutureTek , Manufacturing, thirty  , 2024.02.18      , Boston       , None
Gamma LLC , IT           , 22      , 16-01-2024      , Seattle      , None
Gamma LLC , Finance      , None    , 2024.02.22      , NYC          , None
Gamma LLC , Manufacturing, 98      , 20-05-2024      , Boston       , None
NextGen   , Finance      , twenty  , 16-01-2024      , Austin       , None
FutureTek , IT           , None    , 03-05-2024      , SF           , 79.3
BetaSoft  , IT           , 62      , 29-04-2024      , Boston       , 254.9
DataWorks , Manufacturing, None    , 04-01-2024      , Austin       , None
TechNova  , Retail       , None    , 19-04-2024      , New York     , None
BetaSoft  , Finance      , None    , 01-03-2024      , SF           , None
NextGen   , Healthcare   , 196     , 2024.03.24      , Chicago      , None
OmegaCorp , IT           , None    , 20-05-2024      , new york     , None
InnoSoft  , Healthcare   , 192     , 25-01-2024      , San Fran     , None
CloudNine , Manufacturing, 28      , May 23 2024     , Seattle      , None
CloudNine , Healthcare   , thirty  , 20-03-2024      , SF           , None
InnoSoft  , IT           , 196     , February 22 2024, San Fran     , None
NextGen   , Healthcare   , None    , April 24 2024   , SF           , None
TechNova  , Finance      , thirty  , 2024.03.24      , Boston       , None
Alpha Inc., Retail       , None    , 19-03-2024      , SF           , None
Gamma LLC , Healthcare   , None    , 2024.01.28      , San Francisco, 435.3
InnoSoft  , Manufacturing, None    , February 07 2024, Boston       , 413.9
DataWorks , Finance      , twenty  , 21-02-2024      , Boston       , None
InnoSoft  , Healthcare   , 135     , 2024.03.01      , Austin       , 254.8
BetaSoft  , IT           , twenty  , 05-05-2024      , SF           , 146.7
Gamma LLC , Finance      , thirty  , 26-04-2024      , Seattle      , 251
DataWorks , IT           , None    , 15-03-2024      , Seattle      , 320.1
InnoSoft  , IT           , None    , 08-05-2024      , new york     , None
TechNova  , Manufacturing, thirty  , 14-05-2024      , Chicago      , None
InnoSoft  , Retail       , 39      , 16-05-2024      , NYC          , None
FutureTek , Healthcare   , thirty  , 20-03-2024      , Austin       , 365.1
FutureTek , Retail       , thirty  , 11-04-2024      , New York     , None
InnoSoft  , Retail       , twenty  , 05-02-2024      , SF           , 327.8
Alpha Inc., Healthcare   , None    , 02-02-2024      , San Fran     , None
CloudNine , IT           , 56      , 25-04-2024      , San Fran     , None
OmegaCorp , Healthcare   , 107     , 23-03-2024      , San Francisco, None
OmegaCorp , Manufacturing, None    , 01-01-2024      , New York     , 91.7
InnoSoft  , Manufacturing, None    , 21-01-2024      , Seattle      , 234.2
FutureTek , Healthcare   , None    , 13-01-2024      , San Francisco, 206.4
BetaSoft  , Healthcare   , None    , 15-01-2024      , SF           , None
FutureTek , Retail       , None    , 05-01-2024      , Chicago      , None
OmegaCorp , Healthcare   , twenty  , 03-02-2024      , Seattle      , None
InnoSoft  , Healthcare   , 165     , May 14 2024     , SF           , None
FutureTek , Manufacturing, None    , 05-04-2024      , Chicago      , 416.7
Gamma LLC , Retail       , 152     , 2024.03.31      , San Fran     , None
InnoSoft  , Manufacturing, 172     , 27-05-2024      , San Fran     , None
BetaSoft  , Finance      , twenty  , 29-03-2024      , Chicago      , None
BetaSoft  , Retail       , twenty  , 10-05-2024      , San Francisco, None
DataWorks , Retail       , None    , 14-01-2024      , new york     , 383.8
InnoSoft  , IT           , thirty  , 08-05-2024      , new york     , None
CloudNine , Retail       , None    , 12-01-2024      , Austin       , None
FutureTek , Retail       , None    , 11-03-2024      , San Francisco, None
InnoSoft  , Manufacturing, thirty  , 26-01-2024      , NYC          , 122.9
CloudNine , IT           , None    , 09-03-2024      , San Fran     , None
OmegaCorp , Finance      , None    , 08-02-2024      , Boston       , None
Alpha Inc., Manufacturing, None    , 31-03-2024      , NYC          , None
FutureTek , IT           , None    , 08-01-2024      , Chicago      , None
CloudNine , IT           , None    , 01-04-2024      , New York     , None
FutureTek , Healthcare   , thirty  , 17-02-2024      , San Fran     , 304.1
FutureTek , Manufacturing, 120     , 18-04-2024      , San Francisco, None
Gamma LLC , Manufacturing, None    , 30-04-2024      , San Fran     , None
TechNova  , Healthcare   , None    , February 03 2024, Austin       , 423.7
Gamma LLC , Manufacturing, 68      , 04-01-2024      , NYC          , 456.9
BetaSoft  , Healthcare   , None    , 30-01-2024      , San Fran     , None
FutureTek , Manufacturing, twenty  , 07-05-2024      , Chicago      , None
InnoSoft  , Healthcare   , thirty  , 27-05-2024      , San Francisco, None
TechNova  , IT           , None    , 22-03-2024      , NYC          , 236.6
CloudNine , Manufacturing, None    , 11-03-2024      , Boston       , None
OmegaCorp , Retail       , twenty  , 19-02-2024      , San Fran     , None
NextGen   , Healthcare   , 149     , 01-02-2024      , NYC          , 88.2
Gamma LLC , Finance      , None    , 14-04-2024      , Seattle      , None
CloudNine , Finance      , None    , 2024.03.13      , Boston       , None
DataWorks , Healthcare   , None    , 02-01-2024      , San Fran     , 320.8
FutureTek , Manufacturing, None    , 26-01-2024      , SF           , 336.5
TechNova  , Finance      , 160     , 07-01-2024      , Chicago      , None
CloudNine , Finance      , twenty  , 2024.02.27      , San Fran     , None
TechNova  , Healthcare   , None    , 20-02-2024      , Chicago      , 214.6
Gamma LLC , Retail       , None    , 2024.02.11      , San Fran     , None
DataWorks , Healthcare   , thirty  , April 04 2024   , Chicago      , None
Gamma LLC , Manufacturing, twenty  , 29-01-2024      , new york     , None
InnoSoft  , Manufacturing, twenty  , February 18 2024, Austin       , 29.6
OmegaCorp , IT           , 76      , 16-04-2024      , San Fran     , None
OmegaCorp , Retail       , None    , 20-05-2024      , New York     , None
NextGen   , Retail       , twenty  , 15-02-2024      , Boston       , 32.7
NextGen   , IT           , 167     , 01-04-2024      , new york     , None
NextGen   , Healthcare   , 118     , 09-01-2024      , Austin       , None
BetaSoft  , Healthcare   , None    , April 10 2024   , Austin       , None
OmegaCorp , Retail       , None    , 09-05-2024      , Boston       , None
Alpha Inc., Finance      , thirty  , 26-05-2024      , new york     , None
InnoSoft  , Manufacturing, None    , 09-05-2024      , Boston       , None
Alpha Inc., Finance      , None    , 11-05-2024      , New York     , 266.3
Gamma LLC , Manufacturing, None    , 31-03-2024      , Chicago      , None
CloudNine , IT           , None    , 16-05-2024      , Chicago      , 15
TechNova  , Manufacturing, thirty  , 21-03-2024      , Seattle      , None
Gamma LLC , Finance      , thirty  , February 03 2024, SF           , None
Alpha Inc., IT           , thirty  , 16-01-2024      , Chicago      , 314.4
CloudNine , IT           , thirty  , 03-02-2024      , New York     , 401.6
TechNova  , Finance      , thirty  , 2024.05.15      , San Fran     , None
FutureTek , IT           , twenty  , May 12 2024     , Austin       , None
DataWorks , IT           , twenty  , 16-04-2024      , new york     , 461.5
Alpha Inc., Retail       , 50      , 12-04-2024      , Seattle      , 295.7
OmegaCorp , IT           , twenty  , January 04 2024 , Austin       , 408.5
InnoSoft  , Manufacturing, 111     , 29-03-2024      , New York     , None
BetaSoft  , Healthcare   , thirty  , 01-03-2024      , SF           , 327.4
BetaSoft  , Manufacturing, twenty  , 2024.03.06      , New York     , None
Gamma LLC , Manufacturing, twenty  , 28-04-2024      , NYC          , None
Alpha Inc., Manufacturing, None    , 21-04-2024      , Seattle      , None
TechNova  , Finance      , thirty  , 16-02-2024      , Chicago      , None
OmegaCorp , Finance      , 40      , 16-03-2024      , Austin       , None
Alpha Inc., Retail       , thirty  , 10-02-2024      , Austin       , 356.9
InnoSoft  , Healthcare   , thirty  , 30-04-2024      , San Francisco, None
CloudNine , Retail       , None    , 24-03-2024      , NYC          , 50.7
FutureTek , Healthcare   , twenty  , 24-05-2024      , San Francisco, None
NextGen   , Finance      , None    , 10-04-2024      , Chicago      , 235.8
NextGen   , Healthcare   , twenty  , 27-04-2024      , new york     , 185.4
InnoSoft  , IT           , None    , 02-03-2024      , San Francisco, None
CloudNine , Finance      , twenty  , 20-05-2024      , new york     , None
Gamma LLC , Finance      , thirty  , 19-01-2024      , San Francisco, 56.1
BetaSoft  , IT           , 122     , 2024.01.15      , San Francisco, 341.3
BetaSoft  , Retail       , 44      , 21-04-2024      , SF           , None
FutureTek , Healthcare   , 120     , 17-02-2024      , Chicago      , None
